first_node_id,second_node_id,first_frame_id,second_frame_id,frame_gap,position_distance
141,296,4230,8880,4650,0.32921006204491104
3,171,90,5130,5040,0.3294365093763918
86,104,2580,3120,540,0.32959309970031647
175,325,5250,9744,4494,0.329756462218154
105,262,3150,7860,4710,0.3302026076868512
153,308,4590,9240,4650,0.33052137048620633
187,314,5610,9420,3810,0.3307892282842275
112,269,3360,8070,4710,0.3308951705253795
109,266,3270,7980,4710,0.3312981264770057
163,183,4890,5490,600,0.3313864457524995
1,173,30,5190,5160,0.33198805951591975
2,170,60,5100,5040,0.33201526402804565
9,321,270,9630,9360,0.33223002438573385
128,286,3840,8580,4740,0.33228327797282503
22,142,660,4260,3600,0.33269647307308226
148,301,4440,9030,4590,0.33304948594355915
70,230,2100,6900,4800,0.33371423835512265
81,221,2430,6630,4200,0.33394268957793954
93,252,2790,7560,4770,0.33408716864299254
2,176,60,5280,5220,0.33424110741269913
163,315,4890,9450,4560,0.33451742667201684
148,156,4440,4680,240,0.3346326274345794
165,318,4950,9540,4590,0.3349093473244055
104,246,3120,7380,4260,0.3351124835958556
154,308,4620,9240,4620,0.33562580807906245
165,183,4950,5490,540,0.33621561876095296
174,324,5220,9720,4500,0.33727656946140144
